* Measurement data measured by REW V5.31.1
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540. Timing signal peak level -46.1 dBFS, measurement signal peak level -38.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS using an acoustic timing reference
* Dated: Jun 13, 2024 7:06:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -1.9966 ms (-685 mm, -(2 ft 2.96 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -10.3 ppm
* Measurement: SL MLP-SubFront Jun 13
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 9.887695 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
9.887695 72.756 -51.4923
10.253906 75.800 -56.9623
10.620117 78.471 -71.4321
10.986328 80.571 -90.5646
11.352539 82.096 -111.7093
11.718750 83.107 -133.4071
12.084961 83.658 -154.7181
12.451172 83.792 -174.8923
12.817383 83.561 166.7865
13.183594 83.055 151.0356
13.549805 82.434 138.4009
13.916016 81.930 128.7611
14.282227 81.743 120.8536
14.648438 81.880 112.8154
15.014648 82.169 103.5116
15.380859 82.422 92.9688
15.747070 82.539 81.8240
16.113281 82.505 70.7686
16.479492 82.355 60.2872
16.845703 82.141 50.5890
17.211914 81.906 41.6653
17.578125 81.672 33.4265
17.944336 81.450 25.8148
18.310547 81.260 18.7880
18.676758 81.134 12.1888
19.042969 81.091 5.6567
19.409180 81.109 -1.2593
19.775391 81.121 -8.8340
20.141602 81.043 -16.9739
20.507812 80.812 -25.2126
20.874023 80.416 -32.8265
21.240234 79.913 -39.0220
21.606445 79.451 -43.2825
21.972656 79.226 -45.9022
22.338867 79.358 -48.1882
22.705078 79.777 -51.6511
23.071289 80.286 -56.9578
23.437500 80.705 -63.8406
23.803711 80.935 -71.5907
24.169922 80.947 -79.4313
24.536133 80.773 -86.6869
24.902344 80.489 -92.9031
25.268555 80.203 -97.9966
25.634766 80.005 -102.3415
26.000977 79.928 -106.5964
26.367188 79.924 -111.2911
26.733398 79.918 -116.5283
27.099609 79.850 -122.0125
27.465820 79.713 -127.2733
27.832031 79.545 -131.9120
28.198242 79.418 -135.8004
28.564453 79.397 -139.1652
28.930664 79.504 -142.4756
29.296875 79.707 -146.1826
29.663086 79.945 -150.5105
30.029297 80.152 -155.4239
30.395508 80.285 -160.7091
30.761719 80.326 -166.0740
31.127930 80.285 -171.2350
31.494141 80.195 -176.0058
31.860352 80.103 179.6223
32.226562 80.046 175.4653
32.592773 80.030 171.2562
32.958984 80.034 166.8291
33.325195 80.032 162.2328
33.691406 80.018 157.6707
34.057617 80.022 153.3018
34.423828 80.090 149.0311
34.790039 80.243 144.4687
35.156250 80.443 139.1554
35.522461 80.603 132.8781
35.888672 80.628 125.8118
36.254883 80.448 118.4581
36.621094 80.042 111.5134
36.987305 79.450 105.7222
37.353516 78.785 101.6425
37.719727 78.216 99.2529
38.085938 77.885 97.6698
38.452148 77.794 95.5673
38.818359 77.809 92.1052
39.184570 77.773 87.3171
39.550781 77.590 81.8038
39.916992 77.240 76.3176
40.283203 76.769 71.4845
40.649414 76.262 67.6059
41.015625 75.801 64.5487
41.381836 75.424 61.8594
41.748047 75.096 59.1198
42.114258 74.753 56.2570
42.480469 74.350 53.5514
42.846680 73.894 51.3859
43.212891 73.444 49.9226
43.579102 73.058 48.9069
43.945312 72.745 47.8165
44.311523 72.447 46.2916
44.677734 72.087 44.4366
45.043945 71.639 42.7410
45.410156 71.156 41.7199
45.776367 70.754 41.4526
46.142578 70.531 41.3219
46.508789 70.479 40.3596
46.875000 70.474 37.9839
47.241211 70.366 34.3538
47.607422 70.047 30.2135
47.973633 69.471 26.6654
48.339844 68.691 25.0421
48.706055 67.908 26.5773
49.072266 67.501 31.2650
49.438477 67.767 36.6116
49.804688 68.550 39.3989
50.170898 69.430 38.6666
50.537109 70.113 35.3972
50.903320 70.494 31.0215
51.269531 70.604 26.7488
51.635742 70.556 23.3244
52.001953 70.499 20.8142
52.368164 70.539 18.5805
52.734375 70.667 15.7617
53.100586 70.788 11.9360
53.466797 70.805 7.3111
53.833008 70.680 2.4357
54.199219 70.441 -2.1852
54.565430 70.148 -6.3568
54.931641 69.847 -10.2271
55.297852 69.527 -14.0296
55.664062 69.143 -17.7307
56.030273 68.669 -20.9069
56.396484 68.152 -22.9940
56.762695 67.720 -23.8279
57.128906 67.498 -24.0994
57.495117 67.481 -25.0074
57.861328 67.525 -27.2438
58.227539 67.476 -30.5327
58.593750 67.275 -34.0176
58.959961 66.982 -36.8853
59.326172 66.736 -38.9247
59.692383 66.646 -40.7547
60.058594 66.696 -43.3214
60.424805 66.761 -47.0511
60.791016 66.717 -51.5809
61.157227 66.514 -56.0983
61.523438 66.195 -59.8033
61.889648 65.868 -62.3031
62.255859 65.647 -63.8329
62.622070 65.575 -65.0529
62.988281 65.608 -66.5001
63.354492 65.684 -68.2704
63.720703 65.772 -70.1912
64.086914 65.886 -72.1518
64.453125 66.041 -74.2363
64.819336 66.235 -76.5908
65.185547 66.448 -79.2310
65.551758 66.680 -82.0285
65.917969 66.959 -84.8924
66.284180 67.323 -87.9500
66.650391 67.778 -91.5196
67.016602 68.288 -95.8661
67.382812 68.790 -100.9789
67.749023 69.233 -106.5642
68.115234 69.606 -112.2023
68.481445 69.931 -117.5417
68.847656 70.253 -122.4388
69.213867 70.609 -126.9880
69.580078 71.013 -131.4185
69.946289 71.449 -135.9333
70.312500 71.892 -140.6162
70.678711 72.319 -145.4520
71.044922 72.719 -150.3987
71.411133 73.084 -155.4241
71.777344 73.404 -160.4863
72.143555 73.674 -165.4934
72.509766 73.896 -170.3010
72.875977 74.092 -174.7747
73.242188 74.299 -178.8951
73.608398 74.552 177.1692
73.974609 74.861 173.1144
74.340820 75.200 168.6677
74.707031 75.519 163.7461
75.073242 75.776 158.4856
75.439453 75.949 153.1549
75.805664 76.043 148.0289
76.171875 76.080 143.2853
76.538086 76.089 138.9624
76.904297 76.088 134.9968
77.270508 76.079 131.3114
77.636719 76.059 127.8865
78.002930 76.028 124.7600
78.369141 75.999 121.9628
78.735352 75.989 119.4502
79.101562 76.012 117.0894
79.467773 76.068 114.7148
79.833984 76.145 112.1982
80.200195 76.224 109.4792
80.566406 76.291 106.5493
80.932617 76.331 103.4312
81.298828 76.330 100.1846
81.665039 76.275 96.9282
82.031250 76.163 93.8425
82.397461 76.008 91.1218
82.763672 75.839 88.8912
83.129883 75.691 87.1326
83.496094 75.588 85.6951
83.862305 75.527 84.4037
84.228516 75.493 83.1843
84.594727 75.477 82.0844
84.960938 75.484 81.1720
85.327148 75.536 80.4084
85.693359 75.643 79.6150
86.059570 75.792 78.5811
86.425781 75.948 77.2188
86.791992 76.081 75.6226
87.158203 76.180 73.9965
87.524414 76.262 72.5178
87.890625 76.358 71.2262
88.256836 76.493 70.0009
88.623047 76.674 68.6378
88.989258 76.886 66.9652
89.355469 77.104 64.9115
89.721680 77.302 62.5000
90.087891 77.463 59.8079
90.454102 77.574 56.9323
90.820312 77.629 53.9792
91.186523 77.622 51.0653
91.552734 77.557 48.3173
91.918945 77.443 45.8590
92.285156 77.299 43.7844
92.651367 77.150 42.1207
93.017578 77.023 40.7996
93.383789 76.936 39.6611
93.750000 76.887 38.5092
94.116211 76.861 37.1958
94.482422 76.832 35.6848
94.848633 76.781 34.0507
95.214844 76.702 32.4187
95.581055 76.602 30.8865
95.947266 76.494 29.4763
96.313477 76.383 28.1517
96.679688 76.264 26.8839
97.045898 76.131 25.7084
97.412109 75.984 24.7164
97.778320 75.834 23.9824
98.144531 75.703 23.4858
98.510742 75.601 23.1067
98.876953 75.520 22.7144
99.243164 75.442 22.2754
99.609375 75.352 21.8794
99.975586 75.256 21.6586
100.341797 75.172 21.6713
100.708008 75.123 21.8472
101.074219 75.113 22.0480
101.440430 75.130 22.1842
101.806641 75.162 22.2728
102.172852 75.205 22.3850
102.539062 75.271 22.5498
102.905273 75.365 22.7168
103.271484 75.484 22.8162
103.637695 75.615 22.8497
104.003906 75.752 22.9091
104.370117 75.907 23.0885
104.736328 76.106 23.3663
105.102539 76.365 23.5674
105.468750 76.678 23.4602
105.834961 77.016 22.9067
106.201172 77.346 21.9271
106.567383 77.653 20.6394
106.933594 77.937 19.1489
107.299805 78.204 17.4801
107.666016 78.456 15.5944
108.032227 78.681 13.4690
108.398438 78.864 11.1639
108.764648 78.997 8.8204
109.130859 79.090 6.5945
109.497070 79.166 4.5686
109.863281 79.248 2.7028
110.229492 79.348 0.8647
110.595703 79.457 -1.0759
110.961914 79.558 -3.1604
111.328125 79.634 -5.3253
111.694336 79.680 -7.4579
112.060547 79.707 -9.4735
112.426758 79.730 -11.3651
112.792969 79.758 -13.1990
113.159180 79.792 -15.0646
113.525391 79.823 -17.0214
113.891602 79.842 -19.0760
114.257812 79.841 -21.1964
114.624023 79.820 -23.3394
114.990234 79.781 -25.4720
115.356445 79.728 -27.5785
115.722656 79.664 -29.6545
116.088867 79.591 -31.6986
116.455078 79.511 -33.7029
116.821289 79.424 -35.6498
117.187500 79.335 -37.5184
117.553711 79.252 -39.3051
117.919922 79.183 -41.0492
118.286133 79.131 -42.8387
118.652344 79.086 -44.7748
119.018555 79.029 -46.9070
119.384766 78.935 -49.1810
119.750977 78.791 -51.4435
120.117188 78.601 -53.5098
120.483398 78.390 -55.2676
120.849609 78.188 -56.7572
121.215820 78.010 -58.1589
121.582031 77.845 -59.6716
121.948242 77.664 -61.3684
122.314453 77.439 -63.1461
122.680664 77.163 -64.7959
123.046875 76.854 -66.1420
123.413086 76.546 -67.1561
123.779297 76.260 -67.9705
124.145508 75.996 -68.7649
124.511719 75.730 -69.6211
124.877930 75.441 -70.4653
125.244141 75.124 -71.1340
125.610352 74.792 -71.4939
125.976562 74.469 -71.5197
126.342773 74.169 -71.2771
126.708984 73.892 -70.8352
127.075195 73.638 -70.2032
127.441406 73.411 -69.3602
127.807617 73.228 -68.3427
128.173828 73.097 -67.2871
128.540039 73.010 -66.3625
128.906250 72.940 -65.6453
129.272461 72.865 -65.0588
129.638672 72.780 -64.4404
130.004883 72.706 -63.6838
130.371094 72.670 -62.8511
130.737305 72.684 -62.1547
131.103516 72.728 -61.8057
131.469727 72.761 -61.8494
131.835938 72.751 -62.1250
132.202148 72.689 -62.3574
132.568359 72.600 -62.3136
132.934570 72.524 -61.9390
133.300781 72.494 -61.3885
133.666992 72.511 -60.9116
134.033203 72.549 -60.6656
134.399414 72.574 -60.6141
134.765625 72.572 -60.5752
135.131836 72.552 -60.3630
135.498047 72.544 -59.9221
135.864258 72.571 -59.3656
136.230469 72.635 -58.8864
136.596680 72.716 -58.6118
136.962891 72.790 -58.5247
137.329102 72.844 -58.5024
137.695312 72.887 -58.4238
138.061523 72.936 -58.2583
138.427734 73.005 -58.0767
138.793945 73.096 -57.9846
139.160156 73.196 -58.0394
139.526367 73.295 -58.2211
139.892578 73.390 -58.4691
140.258789 73.486 -58.7432
140.625000 73.589 -59.0553
140.991211 73.701 -59.4528
141.357422 73.815 -59.9749
141.723633 73.919 -60.6198
142.089844 74.007 -61.3430
142.456055 74.072 -62.0770
142.822266 74.119 -62.7521
143.188477 74.152 -63.3136
143.554688 74.185 -63.7400
143.920898 74.230 -64.0657
144.287109 74.296 -64.3879
144.653320 74.379 -64.8346
145.019531 74.463 -65.4917
145.385742 74.525 -66.3409
145.751953 74.550 -67.2551
146.118164 74.543 -68.0696
146.484375 74.526 -68.6910
146.850586 74.527 -69.1760
147.216797 74.556 -69.7030
147.583008 74.596 -70.4385
147.949219 74.614 -71.3984
148.315430 74.583 -72.4141
148.681641 74.504 -73.2214
149.047852 74.405 -73.6130
149.414062 74.330 -73.5686
149.780273 74.311 -73.2749
150.146484 74.350 -73.0024
