* Measurement data measured by REW V5.31.1
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540. Timing signal peak level -43.4 dBFS, measurement signal peak level -38.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS using an acoustic timing reference
* Dated: Jun 13, 2024 7:09:28 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -1.3449 ms (-461 mm, -(1 ft 6.16 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -10.1 ppm
* Measurement: SL PosLeft-SubFront Jun 13
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 9.887695 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
9.887695 71.401 -52.5532
10.253906 74.627 -58.8938
10.620117 77.439 -74.2322
10.986328 79.667 -93.8963
11.352539 81.314 -115.2262
11.718750 82.438 -136.8150
12.084961 83.089 -157.7909
12.451172 83.315 -177.4798
12.817383 83.176 164.7419
13.183594 82.777 149.4506
13.549805 82.282 136.9664
13.916016 81.901 126.9241
14.282227 81.776 118.0662
14.648438 81.885 108.9057
15.014648 82.078 98.7099
15.380859 82.217 87.6639
15.747070 82.243 76.3864
16.113281 82.170 65.4631
16.479492 82.052 55.1883
16.845703 81.939 45.5074
17.211914 81.842 36.1715
17.578125 81.729 27.0092
17.944336 81.561 18.0980
18.310547 81.321 9.7126
18.676758 81.044 2.1028
19.042969 80.792 -4.7607
19.409180 80.611 -11.2775
19.775391 80.486 -17.9838
20.141602 80.342 -25.1464
20.507812 80.097 -32.5389
20.874023 79.711 -39.5132
21.240234 79.231 -45.2562
21.606445 78.798 -49.2209
21.972656 78.609 -51.7158
22.338867 78.775 -54.0773
22.705078 79.213 -57.7766
23.071289 79.723 -63.3798
23.437500 80.130 -70.5294
23.803711 80.342 -78.4639
24.169922 80.342 -86.3807
24.536133 80.171 -93.6047
24.902344 79.918 -99.7251
25.268555 79.693 -104.7646
25.634766 79.580 -109.2366
26.000977 79.583 -113.8723
26.367188 79.628 -119.1415
26.733398 79.620 -124.9933
27.099609 79.502 -130.9536
27.465820 79.279 -136.3914
27.832031 79.025 -140.8202
28.198242 78.852 -144.2019
28.564453 78.851 -147.0756
28.930664 79.025 -150.2635
29.296875 79.292 -154.3326
29.663086 79.548 -159.3372
30.029297 79.721 -164.9629
30.395508 79.787 -170.7794
30.761719 79.762 -176.4207
31.127930 79.687 178.3166
31.494141 79.609 173.4268
31.860352 79.565 168.7094
32.226562 79.563 163.8655
32.592773 79.579 158.6531
32.958984 79.571 153.0172
33.325195 79.506 147.1207
33.691406 79.374 141.2609
34.057617 79.207 135.7027
34.423828 79.060 130.4765
34.790039 78.978 125.2639
35.156250 78.951 119.5297
35.522461 78.899 112.8635
35.888672 78.708 105.2510
36.254883 78.268 97.1158
36.621094 77.495 89.2525
36.987305 76.359 82.8022
37.353516 74.921 79.2622
37.719727 73.431 80.1465
38.085938 72.378 85.4443
38.452148 72.128 91.9382
38.818359 72.463 95.9211
39.184570 72.932 96.7541
39.550781 73.306 95.6556
39.916992 73.575 93.7592
40.283203 73.814 91.5032
40.649414 74.084 88.7131
41.015625 74.386 84.9635
41.381836 74.663 79.9496
41.748047 74.835 73.6522
42.114258 74.822 66.3160
42.480469 74.556 58.3911
42.846680 73.983 50.5214
43.212891 73.072 43.6006
43.579102 71.844 38.8528
43.945312 70.448 37.7399
44.311523 69.249 41.0667
44.677734 68.691 47.0964
45.043945 68.794 52.0679
45.410156 69.143 54.1518
45.776367 69.400 54.1810
46.142578 69.486 53.6121
46.508789 69.476 53.3018
46.875000 69.468 53.2634
47.241211 69.485 53.0745
47.607422 69.474 52.5665
47.973633 69.391 52.1233
48.339844 69.280 52.3611
48.706055 69.276 53.4682
49.072266 69.508 54.7433
49.438477 69.975 55.0007
49.804688 70.541 53.5427
50.170898 71.063 50.5098
50.537109 71.461 46.4957
50.903320 71.727 42.1052
51.269531 71.893 37.7324
51.635742 71.998 33.5225
52.001953 72.072 29.4453
52.368164 72.126 25.4037
52.734375 72.161 21.2985
53.100586 72.175 17.0269
53.466797 72.157 12.4631
53.833008 72.085 7.4839
54.199219 71.922 2.0435
54.565430 71.624 -3.7477
54.931641 71.151 -9.5858
55.297852 70.491 -14.9818
55.664062 69.668 -19.3224
56.030273 68.771 -22.0301
56.396484 67.950 -22.9028
56.762695 67.364 -22.5131
57.128906 67.065 -22.1102
57.495117 66.948 -22.7736
57.861328 66.834 -24.7261
58.227539 66.588 -27.4381
58.593750 66.158 -30.0579
58.959961 65.574 -31.7587
59.326172 64.940 -32.0309
59.692383 64.394 -30.9673
60.058594 64.026 -29.3088
60.424805 63.826 -27.9963
60.791016 63.699 -27.5871
61.157227 63.545 -28.1071
61.523438 63.301 -29.2697
61.889648 62.943 -30.6896
62.255859 62.479 -31.9714
62.622070 61.951 -32.7528
62.988281 61.432 -32.8132
63.354492 61.017 -32.2543
63.720703 60.776 -31.5704
64.086914 60.712 -31.4144
64.453125 60.768 -32.2209
64.819336 60.878 -34.0811
65.185547 60.994 -36.9080
65.551758 61.083 -40.6198
65.917969 61.116 -45.1663
66.284180 61.059 -50.4504
66.650391 60.888 -56.2857
67.016602 60.612 -62.4797
67.382812 60.272 -69.0205
67.749023 59.915 -76.2278
68.115234 59.552 -84.6868
68.481445 59.144 -94.9282
68.847656 58.626 -107.0915
69.213867 57.954 -120.7771
69.580078 57.142 -135.0450
69.946289 56.278 -148.5057
70.312500 55.553 -159.6998
70.678711 55.239 -168.0676
71.044922 55.514 -174.8605
71.411133 56.244 177.8855
71.777344 57.081 169.4092
72.143555 57.749 160.4550
72.509766 58.152 152.3662
72.875977 58.368 146.3878
73.242188 58.617 143.0182
73.608398 59.137 141.3605
73.974609 59.977 139.5435
74.340820 60.962 136.3169
74.707031 61.893 131.7295
75.073242 62.669 126.4963
75.439453 63.287 121.3135
75.805664 63.792 116.5713
76.171875 64.230 112.3597
76.538086 64.625 108.6370
76.904297 64.991 105.3995
77.270508 65.345 102.6995
77.636719 65.726 100.5000
78.002930 66.170 98.5383
78.369141 66.675 96.3967
78.735352 67.192 93.7712
79.101562 67.658 90.6764
79.467773 68.033 87.4104
79.833984 68.323 84.3457
80.200195 68.575 81.6829
80.566406 68.846 79.2994
80.932617 69.154 76.8210
81.298828 69.468 73.9008
81.665039 69.723 70.4766
82.031250 69.868 66.8105
82.397461 69.889 63.3452
82.763672 69.820 60.4968
83.129883 69.726 58.4602
83.496094 69.676 57.1079
83.862305 69.702 56.0862
84.228516 69.789 55.0725
84.594727 69.904 53.9738
84.960938 70.025 52.9005
85.327148 70.160 51.9882
85.693359 70.333 51.2375
86.059570 70.560 50.4922
86.425781 70.833 49.5520
86.791992 71.127 48.3081
87.158203 71.416 46.7791
87.524414 71.687 45.0502
87.890625 71.939 43.1974
88.256836 72.172 41.2524
88.623047 72.389 39.2209
88.989258 72.585 37.1166
89.355469 72.761 34.9725
89.721680 72.918 32.8239
90.087891 73.064 30.6831
90.454102 73.202 28.5312
90.820312 73.333 26.3340
91.186523 73.452 24.0674
91.552734 73.553 21.7340
91.918945 73.628 19.3645
92.285156 73.673 17.0106
92.651367 73.687 14.7382
93.017578 73.675 12.6144
93.383789 73.646 10.6876
93.750000 73.612 8.9609
94.116211 73.585 7.3795
94.482422 73.567 5.8530
94.848633 73.549 4.3101
95.214844 73.519 2.7462
95.581055 73.466 1.2291
95.947266 73.394 -0.1472
96.313477 73.315 -1.3289
96.679688 73.245 -2.3419
97.045898 73.189 -3.2712
97.412109 73.142 -4.1949
97.778320 73.095 -5.1276
98.144531 73.038 -6.0197
98.510742 72.976 -6.8044
98.876953 72.915 -7.4497
99.243164 72.865 -7.9707
99.609375 72.830 -8.4005
99.975586 72.809 -8.7527
100.341797 72.805 -9.0189
100.708008 72.825 -9.2057
101.074219 72.878 -9.3704
101.440430 72.964 -9.6139
101.806641 73.071 -10.0232
102.172852 73.179 -10.6088
102.539062 73.273 -11.2876
102.905273 73.346 -11.9198
103.271484 73.411 -12.3757
103.637695 73.485 -12.5934
104.003906 73.592 -12.6025
104.370117 73.745 -12.5043
104.736328 73.950 -12.4269
105.102539 74.203 -12.4868
105.468750 74.494 -12.7734
105.834961 74.813 -13.3530
106.201172 75.147 -14.2743
106.567383 75.482 -15.5631
106.933594 75.801 -17.2107
107.299805 76.089 -19.1671
107.666016 76.338 -21.3463
108.032227 76.543 -23.6464
108.398438 76.711 -25.9783
108.764648 76.850 -28.2906
109.130859 76.970 -30.5798
109.497070 77.077 -32.8773
109.863281 77.169 -35.2169
110.229492 77.240 -37.6014
110.595703 77.282 -39.9872
110.961914 77.295 -42.2955
111.328125 77.285 -44.4448
111.694336 77.266 -46.3885
112.060547 77.254 -48.1420
112.426758 77.261 -49.7789
112.792969 77.289 -51.4003
113.159180 77.332 -53.0890
113.525391 77.378 -54.8776
113.891602 77.418 -56.7458
114.257812 77.449 -58.6487
114.624023 77.473 -60.5530
114.990234 77.496 -62.4645
115.356445 77.518 -64.4248
115.722656 77.533 -66.4745
116.088867 77.530 -68.6091
116.455078 77.501 -70.7594
116.821289 77.444 -72.8157
117.187500 77.374 -74.6899
117.553711 77.312 -76.3818
117.919922 77.274 -78.0009
118.286133 77.261 -79.7081
118.652344 77.252 -81.6141
119.018555 77.225 -83.7045
119.384766 77.163 -85.8506
119.750977 77.072 -87.8960
120.117188 76.973 -89.7621
120.483398 76.889 -91.5063
120.849609 76.828 -93.2871
121.215820 76.776 -95.2517
121.582031 76.708 -97.4340
121.948242 76.601 -99.7369
122.314453 76.450 -101.9995
122.680664 76.266 -104.0890
123.046875 76.066 -105.9622
123.413086 75.866 -107.6622
123.779297 75.670 -109.2633
124.145508 75.475 -110.8146
124.511719 75.279 -112.3335
124.877930 75.081 -113.8434
125.244141 74.880 -115.4004
125.610352 74.665 -117.0687
125.976562 74.411 -118.8483
126.342773 74.098 -120.6133
126.708984 73.715 -122.1166
127.075195 73.282 -123.0771
127.441406 72.846 -123.3229
127.807617 72.468 -122.9237
128.173828 72.184 -122.1926
128.540039 71.991 -121.5013
128.906250 71.851 -121.0510
129.272461 71.728 -120.8048
129.638672 71.611 -120.6118
130.004883 71.512 -120.3881
130.371094 71.446 -120.2050
130.737305 71.408 -120.2203
131.103516 71.369 -120.5181
131.469727 71.299 -121.0085
131.835938 71.185 -121.4713
132.202148 71.045 -121.7028
132.568359 70.914 -121.6643
132.934570 70.820 -121.5188
133.300781 70.756 -121.4994
133.666992 70.693 -121.7125
134.033203 70.601 -122.0510
134.399414 70.473 -122.2823
134.765625 70.338 -122.2318
135.131836 70.232 -121.9229
135.498047 70.174 -121.5562
135.864258 70.153 -121.3267
136.230469 70.138 -121.2524
136.596680 70.115 -121.1770
136.962891 70.099 -120.9331
137.329102 70.122 -120.5190
137.695312 70.204 -120.1307
138.061523 70.332 -120.0043
138.427734 70.470 -120.2229
138.793945 70.590 -120.6735
139.160156 70.688 -121.1671
139.526367 70.783 -121.6035
139.892578 70.896 -122.0432
140.258789 71.032 -122.6394
140.625000 71.174 -123.5017
140.991211 71.306 -124.6261
141.357422 71.418 -125.9412
141.723633 71.515 -127.4030
142.089844 71.601 -129.0372
142.456055 71.668 -130.8899
142.822266 71.700 -132.9344
143.188477 71.686 -135.0342
143.554688 71.633 -137.0004
143.920898 71.569 -138.7145
144.287109 71.530 -140.2263
144.653320 71.533 -141.7419
145.019531 71.568 -143.4865
145.385742 71.603 -145.5587
145.751953 71.610 -147.8961
146.118164 71.574 -150.3514
146.484375 71.499 -152.7963
146.850586 71.395 -155.1733
147.216797 71.271 -157.4775
147.583008 71.136 -159.7119
147.949219 71.000 -161.8817
148.315430 70.881 -164.0493
148.681641 70.796 -166.3892
149.047852 70.742 -169.1565
149.414062 70.689 -172.5594
149.780273 70.595 -176.6299
150.146484 70.427 178.8010
