* Measurement data measured by REW V5.31.1
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540. Timing signal peak level -46.4 dBFS, measurement signal peak level -37.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS using an acoustic timing reference
* Dated: Jun 13, 2024 7:10:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -3.3482 ms (-1.148 m, -(3 ft 9.2 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -10.0 ppm
* Measurement: SL PosRight-SubFront Jun 13
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 9.887695 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
9.887695 72.754 -51.9399
10.253906 75.727 -57.7009
10.620117 78.414 -71.4782
10.986328 80.575 -89.6205
11.352539 82.165 -109.6869
11.718750 83.228 -130.3249
12.084961 83.817 -150.6825
12.451172 83.986 -170.0869
12.817383 83.798 172.1055
13.183594 83.352 156.5311
13.549805 82.799 143.6580
13.916016 82.342 133.3886
14.282227 82.148 124.7221
14.648438 82.231 116.1670
15.014648 82.454 106.7431
15.380859 82.652 96.3924
15.747070 82.722 85.6185
16.113281 82.637 75.0380
16.479492 82.420 65.1386
16.845703 82.123 56.1960
17.211914 81.802 48.2781
17.578125 81.513 41.2988
17.944336 81.301 35.0610
18.310547 81.205 29.2428
18.676758 81.239 23.3828
19.042969 81.372 16.9862
19.409180 81.531 9.7432
19.775391 81.622 1.6924
20.141602 81.566 -6.7717
20.507812 81.322 -14.9899
20.874023 80.906 -22.1573
21.240234 80.415 -27.5262
21.606445 80.031 -30.8312
21.972656 79.951 -32.8262
22.338867 80.233 -35.1464
22.705078 80.739 -39.1632
23.071289 81.258 -45.1829
23.437500 81.634 -52.7062
23.803711 81.792 -60.9525
24.169922 81.724 -69.1434
24.536133 81.473 -76.6173
24.902344 81.121 -82.9310
25.268555 80.776 -88.0018
25.634766 80.528 -92.1805
26.000977 80.407 -96.0741
26.367188 80.377 -100.1631
26.733398 80.375 -104.5605
27.099609 80.364 -109.0917
27.465820 80.341 -113.5392
27.832031 80.329 -117.8341
28.198242 80.337 -122.0718
28.564453 80.355 -126.3652
28.930664 80.355 -130.6818
29.296875 80.325 -134.8237
29.663086 80.289 -138.5775
30.029297 80.294 -141.9341
30.395508 80.378 -145.1951
30.761719 80.530 -148.8140
31.127930 80.687 -153.0662
31.494141 80.769 -157.8455
31.860352 80.728 -162.7092
32.226562 80.570 -167.0750
32.592773 80.364 -170.4739
32.958984 80.216 -172.8162
33.325195 80.224 -174.5263
33.691406 80.416 -176.3323
34.057617 80.746 -178.8245
34.423828 81.146 177.7776
34.790039 81.560 173.5099
35.156250 81.956 168.4547
35.522461 82.307 162.6591
35.888672 82.578 156.1921
36.254883 82.728 149.2428
36.621094 82.727 142.1669
36.987305 82.575 135.4503
37.353516 82.319 129.5750
37.719727 82.057 124.7734
38.085938 81.902 120.7477
38.452148 81.910 116.6655
38.818359 82.025 111.6484
39.184570 82.117 105.3340
39.550781 82.060 97.9898
39.916992 81.779 90.2885
40.283203 81.267 83.0629
40.649414 80.588 77.0984
41.015625 79.877 72.8442
41.381836 79.301 70.0411
41.748047 78.955 67.6654
42.114258 78.795 64.5731
42.480469 78.679 60.2471
42.846680 78.483 54.8640
43.212891 78.136 48.9116
43.579102 77.623 42.8713
43.945312 76.951 37.0992
44.311523 76.133 31.8622
44.677734 75.181 27.4494
45.043945 74.124 24.2574
45.410156 73.039 22.7028
45.776367 72.068 22.8508
46.142578 71.351 23.9592
46.508789 70.899 24.6682
46.875000 70.560 24.0101
47.241211 70.127 22.0646
47.607422 69.464 19.7478
47.973633 68.539 18.3834
48.339844 67.459 19.3547
48.706055 66.498 23.4633
49.072266 66.010 29.7705
49.438477 66.122 35.5195
49.804688 66.591 38.4712
50.170898 67.086 38.3567
50.537109 67.399 36.0493
50.903320 67.450 32.6534
51.269531 67.247 29.1983
51.635742 66.871 26.5078
52.001953 66.468 24.9285
52.368164 66.184 23.9921
52.734375 66.048 22.5757
53.100586 65.925 19.8001
53.466797 65.597 15.7734
53.833008 64.877 11.6483
54.199219 63.680 9.5529
54.565430 62.176 12.6312
54.931641 61.137 23.0721
55.297852 61.521 35.6575
55.664062 62.845 42.0911
56.030273 64.084 42.1823
56.396484 64.854 39.2161
56.762695 65.177 35.7650
57.128906 65.239 33.2682
57.495117 65.289 31.9099
57.861328 65.502 30.5994
58.227539 65.845 27.8708
58.593750 66.144 23.0856
58.959961 66.232 16.6384
59.326172 66.028 9.4824
59.692383 65.543 2.7338
60.058594 64.880 -2.5906
60.424805 64.228 -5.9689
60.791016 63.797 -7.8860
61.157227 63.659 -9.7225
61.523438 63.688 -12.6207
61.889648 63.690 -16.6353
62.255859 63.543 -20.9896
62.622070 63.250 -24.7363
62.988281 62.917 -27.3423
63.354492 62.677 -29.1072
63.720703 62.575 -31.0179
64.086914 62.517 -33.9014
64.453125 62.356 -37.7360
64.819336 62.013 -41.7206
65.185547 61.537 -44.7701
65.551758 61.127 -46.2234
65.917969 61.037 -46.6656
66.284180 61.364 -47.8463
66.650391 61.964 -51.1441
67.016602 62.621 -56.5712
67.382812 63.213 -63.2803
67.749023 63.722 -70.3436
68.115234 64.195 -77.1593
68.481445 64.689 -83.5582
68.847656 65.235 -89.6893
69.213867 65.822 -95.7762
69.580078 66.420 -101.9268
69.946289 67.004 -108.1185
70.312500 67.563 -114.2997
70.678711 68.099 -120.4769
71.044922 68.605 -126.7080
71.411133 69.066 -133.0250
71.777344 69.465 -139.3616
72.143555 69.794 -145.5520
72.509766 70.065 -151.4030
72.875977 70.310 -156.7990
73.242188 70.569 -161.7795
73.608398 70.866 -166.5322
73.974609 71.203 -171.2954
74.340820 71.560 -176.2429
74.707031 71.909 178.5669
75.073242 72.225 173.1646
75.439453 72.488 167.6226
75.805664 72.681 162.0339
76.171875 72.789 156.5265
76.538086 72.803 151.2832
76.904297 72.726 146.5364
77.270508 72.582 142.5098
77.636719 72.421 139.3145
78.002930 72.294 136.8425
78.369141 72.240 134.7604
78.735352 72.252 132.6632
79.101562 72.289 130.2972
79.467773 72.304 127.6715
79.833984 72.269 124.9980
80.200195 72.191 122.5331
80.566406 72.105 120.4114
80.932617 72.049 118.5496
81.298828 72.041 116.6855
81.665039 72.058 114.5503
82.031250 72.053 112.0522
82.397461 71.975 109.3496
82.763672 71.795 106.7966
83.129883 71.520 104.8221
83.496094 71.194 103.7820
83.862305 70.890 103.8024
84.228516 70.680 104.6868
84.594727 70.601 105.9893
84.960938 70.641 107.2561
85.327148 70.756 108.2456
85.693359 70.905 108.9641
86.059570 71.074 109.5486
86.425781 71.273 110.1077
86.791992 71.530 110.5985
87.158203 71.862 110.7928
87.524414 72.255 110.3796
87.890625 72.661 109.1570
88.256836 73.018 107.1816
88.623047 73.279 104.7773
88.989258 73.439 102.4136
89.355469 73.540 100.4961
89.721680 73.664 99.1208
90.087891 73.876 97.9368
90.454102 74.178 96.3353
90.820312 74.498 93.8899
91.186523 74.737 90.6448
91.552734 74.828 87.0586
91.918945 74.760 83.7625
92.285156 74.588 81.2834
92.651367 74.407 79.7825
93.017578 74.301 78.9363
93.383789 74.287 78.1616
93.750000 74.316 77.0654
94.116211 74.327 75.6802
94.482422 74.297 74.3054
94.848633 74.255 73.1716
95.214844 74.245 72.2090
95.581055 74.277 71.1058
95.947266 74.312 69.6200
96.313477 74.289 67.8409
96.679688 74.178 66.1761
97.045898 74.003 65.1050
97.412109 73.844 64.8467
97.778320 73.781 65.1405
98.144531 73.836 65.3899
98.510742 73.952 65.1311
98.876953 74.047 64.3622
99.243164 74.074 63.4563
99.609375 74.046 62.8431
99.975586 74.020 62.7007
100.341797 74.050 62.8315
100.708008 74.142 62.8334
101.074219 74.252 62.4399
101.440430 74.326 61.7198
101.806641 74.335 60.9993
102.172852 74.301 60.6288
102.539062 74.278 60.7539
102.905273 74.320 61.2152
103.271484 74.446 61.6641
103.637695 74.633 61.8142
104.003906 74.844 61.6023
104.370117 75.053 61.1445
104.736328 75.264 60.5789
105.102539 75.489 59.9387
105.468750 75.739 59.1392
105.834961 76.006 58.0630
106.201172 76.270 56.6605
106.567383 76.510 54.9808
106.933594 76.716 53.1266
107.299805 76.889 51.1864
107.666016 77.034 49.1965
108.032227 77.152 47.1586
108.398438 77.237 45.0881
108.764648 77.284 43.0525
109.130859 77.298 41.1587
109.497070 77.294 39.4978
109.863281 77.297 38.0767
110.229492 77.328 36.7913
110.595703 77.393 35.4740
110.961914 77.481 33.9856
111.328125 77.571 32.2821
111.694336 77.648 30.4093
112.060547 77.706 28.4432
112.426758 77.747 26.4287
112.792969 77.774 24.3623
113.159180 77.782 22.2245
113.525391 77.762 20.0302
113.891602 77.706 17.8478
114.257812 77.617 15.7701
114.624023 77.507 13.8534
114.990234 77.390 12.0721
115.356445 77.275 10.3346
115.722656 77.153 8.5568
116.088867 77.011 6.7389
116.455078 76.842 4.9760
116.821289 76.657 3.3839
117.187500 76.482 1.9850
117.553711 76.340 0.6410
117.919922 76.232 -0.8846
118.286133 76.123 -2.7603
118.652344 75.969 -4.9399
119.018555 75.735 -7.1512
119.384766 75.423 -9.0081
119.750977 75.075 -10.2025
120.117188 74.756 -10.6964
120.483398 74.518 -10.7870
120.849609 74.360 -10.9285
121.215820 74.233 -11.4137
121.582031 74.075 -12.2042
121.948242 73.851 -13.0114
122.314453 73.569 -13.5127
122.680664 73.265 -13.5483
123.046875 72.978 -13.1935
123.413086 72.720 -12.6511
123.779297 72.474 -12.0486
124.145508 72.220 -11.3181
124.511719 71.965 -10.2678
124.877930 71.746 -8.7769
125.244141 71.611 -6.9615
125.610352 71.586 -5.1591
125.976562 71.656 -3.7208
126.342773 71.777 -2.8120
126.708984 71.912 -2.3899
127.075195 72.039 -2.3212
127.441406 72.154 -2.4963
127.807617 72.254 -2.8599
128.173828 72.333 -3.3693
128.540039 72.382 -3.9453
128.906250 72.400 -4.4713
129.272461 72.398 -4.8419
129.638672 72.395 -5.0281
130.004883 72.408 -5.0983
130.371094 72.441 -5.1802
130.737305 72.488 -5.3818
131.103516 72.531 -5.7390
131.469727 72.560 -6.2166
131.835938 72.571 -6.7488
132.202148 72.567 -7.2814
132.568359 72.557 -7.7870
132.934570 72.547 -8.2622
133.300781 72.544 -8.7202
133.666992 72.553 -9.1926
134.033203 72.575 -9.7291
134.399414 72.606 -10.3812
134.765625 72.634 -11.1680
135.131836 72.647 -12.0503
135.498047 72.638 -12.9374
135.864258 72.611 -13.7308
136.230469 72.578 -14.3824
136.596680 72.554 -14.9268
136.962891 72.543 -15.4601
137.329102 72.537 -16.0746
137.695312 72.521 -16.7961
138.061523 72.480 -17.5686
138.427734 72.413 -18.2926
138.793945 72.329 -18.8857
139.160156 72.243 -19.3293
139.526367 72.171 -19.6764
139.892578 72.118 -20.0188
140.258789 72.079 -20.4393
140.625000 72.046 -20.9745
140.991211 72.009 -21.6104
141.357422 71.963 -22.2990
141.723633 71.909 -22.9868
142.089844 71.852 -23.6390
142.456055 71.797 -24.2495
142.822266 71.747 -24.8357
143.188477 71.705 -25.4226
143.554688 71.669 -26.0317
143.920898 71.637 -26.6824
144.287109 71.610 -27.4037
144.653320 71.583 -28.2363
145.019531 71.549 -29.2156
145.385742 71.498 -30.3425
145.751953 71.423 -31.5743
146.118164 71.325 -32.8523
146.484375 71.213 -34.1542
146.850586 71.096 -35.5366
147.216797 70.975 -37.1152
147.583008 70.830 -38.9863
147.949219 70.633 -41.1381
148.315430 70.358 -43.4199
148.681641 69.998 -45.5907
149.047852 69.569 -47.4213
149.414062 69.104 -48.8068
149.780273 68.634 -49.8229
150.146484 68.170 -50.6735
