* Measurement data measured by REW V5.31.1
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540. Timing signal peak level -46.0 dBFS, measurement signal peak level -36.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS using an acoustic timing reference
* Dated: Jun 13, 2024 7:07:51 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -7.3320 ms (-2.515 m, -(8 ft 3 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -10.2 ppm
* Measurement: SR MLP-SubBack Jun 13
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 9.887695 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
9.887695 73.263 -17.2227
10.253906 76.505 -33.7840
10.620117 78.845 -54.9167
10.986328 80.555 -77.9826
11.352539 81.701 -101.6591
11.718750 82.324 -125.1424
12.084961 82.437 -147.7809
12.451172 82.039 -168.8451
12.817383 81.130 172.7105
13.183594 79.783 158.5279
13.549805 78.313 150.7236
13.916016 77.468 149.4115
14.282227 77.805 148.8942
14.648438 78.782 143.4013
15.014648 79.634 133.0804
15.380859 80.039 120.3006
15.747070 79.943 107.1249
16.113281 79.397 95.1812
16.479492 78.545 85.8455
16.845703 77.651 79.9906
17.211914 77.057 77.1178
17.578125 76.956 75.0230
17.944336 77.214 71.5277
18.310547 77.567 66.0841
18.676758 77.854 59.2588
19.042969 78.030 51.7206
19.409180 78.110 43.8164
19.775391 78.102 35.5981
20.141602 77.985 27.0389
20.507812 77.714 18.2460
20.874023 77.244 9.5627
21.240234 76.553 1.5679
21.606445 75.664 -4.9922
21.972656 74.678 -9.3871
22.338867 73.776 -11.3293
22.705078 73.158 -11.5275
23.071289 72.882 -11.5455
23.437500 72.806 -12.6075
23.803711 72.729 -14.7653
24.169922 72.535 -17.2047
24.536133 72.237 -18.9265
24.902344 71.962 -19.3693
25.268555 71.865 -18.8910
25.634766 71.996 -18.6110
26.000977 72.244 -19.4412
26.367188 72.450 -21.3800
26.733398 72.519 -23.7070
27.099609 72.466 -25.5477
27.465820 72.393 -26.3878
27.832031 72.424 -26.3953
28.198242 72.612 -26.2566
28.564453 72.910 -26.5369
28.930664 73.245 -27.2589
29.296875 73.593 -28.1112
29.663086 73.992 -28.9313
30.029297 74.477 -29.9586
30.395508 75.029 -31.6266
30.761719 75.575 -34.1333
31.127930 76.036 -37.2537
31.494141 76.382 -40.4980
31.860352 76.635 -43.3989
32.226562 76.855 -45.7446
32.592773 77.094 -47.6317
32.958984 77.372 -49.2843
33.325195 77.683 -50.7987
33.691406 78.035 -52.1001
34.057617 78.476 -53.1927
34.423828 79.061 -54.4553
34.790039 79.789 -56.5916
35.156250 80.575 -60.1837
35.522461 81.294 -65.3190
35.888672 81.839 -71.6027
36.254883 82.154 -78.3693
36.621094 82.233 -84.8666
36.987305 82.126 -90.3915
37.353516 81.938 -94.4647
37.719727 81.805 -97.0806
38.085938 81.840 -98.8508
38.452148 82.064 -100.7240
38.818359 82.395 -103.3937
39.184570 82.724 -106.9821
39.550781 82.975 -111.1760
39.916992 83.125 -115.5140
40.283203 83.197 -119.6080
40.649414 83.242 -123.2837
41.015625 83.317 -126.6448
41.381836 83.449 -130.0176
41.748047 83.626 -133.7715
42.114258 83.803 -138.1234
42.480469 83.923 -143.0522
42.846680 83.949 -148.3429
43.212891 83.864 -153.6904
43.579102 83.681 -158.8070
43.945312 83.428 -163.5097
44.311523 83.140 -167.7653
44.677734 82.841 -171.6691
45.043945 82.535 -175.3573
45.410156 82.210 -178.9032
45.776367 81.850 177.7276
46.142578 81.449 174.6428
46.508789 81.015 171.9454
46.875000 80.561 169.6751
47.241211 80.094 167.8152
47.607422 79.613 166.3619
47.973633 79.115 165.3970
48.339844 78.607 165.0923
48.706055 78.124 165.6194
49.072266 77.728 166.9949
49.438477 77.480 168.9586
49.804688 77.411 171.0060
50.170898 77.505 172.5950
50.537109 77.702 173.3692
50.903320 77.934 173.2444
51.269531 78.145 172.3631
51.635742 78.300 170.9999
52.001953 78.395 169.4638
52.368164 78.451 168.0001
52.734375 78.503 166.7003
53.100586 78.586 165.4629
53.466797 78.711 164.0527
53.833008 78.859 162.2396
54.199219 78.992 159.9244
54.565430 79.071 157.1708
54.931641 79.067 154.1597
55.297852 78.967 151.1234
55.664062 78.775 148.2980
56.030273 78.509 145.8916
56.396484 78.200 144.0482
56.762695 77.891 142.7909
57.128906 77.622 141.9706
57.495117 77.411 141.2914
57.861328 77.244 140.4525
58.227539 77.078 139.3260
58.593750 76.874 138.0297
58.959961 76.622 136.8372
59.326172 76.352 135.9791
59.692383 76.112 135.4436
60.058594 75.936 134.9319
60.424805 75.803 134.0637
60.791016 75.653 132.6841
61.157227 75.422 131.0031
61.523438 75.086 129.4919
61.889648 74.677 128.6428
62.255859 74.272 128.6916
62.622070 73.956 129.4359
62.988281 73.767 130.3362
63.354492 73.672 130.8829
63.720703 73.609 130.8795
64.086914 73.523 130.4091
64.453125 73.386 129.6412
64.819336 73.181 128.7141
65.185547 72.889 127.7657
65.551758 72.486 127.0444
65.917969 71.964 126.9771
66.284180 71.360 128.1054
66.650391 70.776 130.8415
67.016602 70.358 135.0828
67.382812 70.222 140.0062
67.749023 70.368 144.4686
68.115234 70.688 147.7112
68.481445 71.060 149.6003
68.847656 71.392 150.3939
69.213867 71.633 150.4891
69.580078 71.768 150.3146
69.946289 71.807 150.2862
70.312500 71.790 150.7343
70.678711 71.785 151.7823
71.044922 71.854 153.2532
71.411133 72.030 154.7321
71.777344 72.295 155.7985
72.143555 72.601 156.2427
72.509766 72.899 156.0983
72.875977 73.165 155.5284
73.242188 73.394 154.6976
73.608398 73.593 153.7003
73.974609 73.773 152.5513
74.340820 73.936 151.2169
74.707031 74.078 149.6595
75.073242 74.187 147.8746
75.439453 74.251 145.9108
75.805664 74.262 143.8672
76.171875 74.222 141.8718
76.538086 74.138 140.0453
76.904297 74.030 138.4641
77.270508 73.919 137.1345
77.636719 73.822 135.9888
78.002930 73.749 134.9062
78.369141 73.694 133.7539
78.735352 73.641 132.4376
79.101562 73.566 130.9502
79.467773 73.447 129.3950
79.833984 73.276 127.9603
80.200195 73.072 126.8320
80.566406 72.873 126.0593
80.932617 72.718 125.4500
81.298828 72.614 124.6138
81.665039 72.521 123.1776
82.031250 72.369 121.0092
82.397461 72.087 118.2813
82.763672 71.629 115.3858
83.129883 70.986 112.8035
83.496094 70.186 110.9910
83.862305 69.287 110.2843
84.228516 68.375 110.7884
84.594727 67.543 112.2446
84.960938 66.847 113.9634
85.327148 66.257 115.0214
85.693359 65.640 114.7278
86.059570 64.793 113.0126
86.425781 63.493 110.5228
86.791992 61.501 108.7021
87.158203 58.522 110.5199
87.524414 54.327 123.8691
87.890625 51.231 165.7509
88.256836 54.129 -153.7214
88.623047 57.889 -137.7166
88.989258 60.932 -131.2354
89.355469 63.453 -129.3134
89.721680 65.516 -130.3231
90.087891 67.130 -132.9903
90.454102 68.337 -136.0985
90.820312 69.240 -138.6759
91.186523 69.992 -140.2543
91.552734 70.741 -141.0684
91.918945 71.553 -141.8736
92.285156 72.382 -143.3308
92.651367 73.139 -145.5431
93.017578 73.763 -148.1282
93.383789 74.262 -150.5757
93.750000 74.698 -152.5870
94.116211 75.142 -154.2573
94.482422 75.630 -155.9965
94.848633 76.139 -158.2197
95.214844 76.611 -161.0704
95.581055 76.993 -164.3884
95.947266 77.265 -167.8559
96.313477 77.439 -171.1686
96.679688 77.548 -174.1503
97.045898 77.626 -176.7900
97.412109 77.699 -179.2014
97.778320 77.771 178.4661
98.144531 77.832 176.1071
98.510742 77.866 173.6949
98.876953 77.860 171.2729
99.243164 77.807 168.9310
99.609375 77.707 166.7769
99.975586 77.573 164.9024
100.341797 77.423 163.3400
100.708008 77.278 162.0302
101.074219 77.147 160.8349
101.440430 77.021 159.6119
101.806641 76.876 158.3117
102.172852 76.689 157.0267
102.539062 76.454 155.9543
102.905273 76.188 155.2913
103.271484 75.928 155.1123
103.637695 75.705 155.3160
104.003906 75.533 155.6938
104.370117 75.398 156.0839
104.736328 75.277 156.4746
105.102539 75.162 156.9705
105.468750 75.064 157.6630
105.834961 75.002 158.5245
106.201172 74.985 159.4165
106.567383 75.002 160.2038
106.933594 75.029 160.8613
107.299805 75.053 161.4766
107.666016 75.076 162.1595
108.032227 75.111 162.9507
108.398438 75.171 163.8015
108.764648 75.258 164.6326
109.130859 75.367 165.4031
109.497070 75.496 166.1171
109.863281 75.651 166.7695
110.229492 75.839 167.2960
110.595703 76.060 167.5847
110.961914 76.298 167.5448
111.328125 76.534 167.1670
111.694336 76.753 166.5258
112.060547 76.951 165.7266
112.426758 77.136 164.8420
112.792969 77.316 163.8795
113.159180 77.497 162.7941
113.525391 77.673 161.5341
113.891602 77.833 160.0811
114.257812 77.967 158.4638
114.624023 78.067 156.7422
114.990234 78.130 154.9815
115.356445 78.157 153.2355
115.722656 78.148 151.5491
116.088867 78.106 149.9730
116.455078 78.035 148.5720
116.821289 77.948 147.4067
117.187500 77.865 146.4874
117.553711 77.808 145.7248
117.919922 77.786 144.9323
118.286133 77.786 143.9081
118.652344 77.776 142.5570
119.018555 77.720 140.9623
119.384766 77.599 139.3597
119.750977 77.423 138.0258
120.117188 77.229 137.1323
120.483398 77.062 136.6389
120.849609 76.949 136.3121
121.215820 76.880 135.8915
121.582031 76.825 135.2696
121.948242 76.754 134.5350
122.314453 76.665 133.8615
122.680664 76.574 133.3499
123.046875 76.504 132.9452
123.413086 76.458 132.4899
123.779297 76.418 131.8680
124.145508 76.358 131.1056
124.511719 76.267 130.3469
124.877930 76.155 129.7386
125.244141 76.046 129.3159
125.610352 75.961 128.9718
125.976562 75.902 128.5359
126.342773 75.850 127.8943
126.708984 75.783 127.0527
127.075195 75.689 126.1085
127.441406 75.569 125.1750
127.807617 75.434 124.3167
128.173828 75.295 123.5289
128.540039 75.160 122.7603
128.906250 75.027 121.9562
129.272461 74.887 121.0947
129.638672 74.732 120.2016
130.004883 74.560 119.3397
130.371094 74.375 118.5764
130.737305 74.191 117.9371
131.103516 74.021 117.3699
131.469727 73.872 116.7512
131.835938 73.734 115.9464
132.202148 73.585 114.8884
132.568359 73.402 113.6173
132.934570 73.172 112.2541
133.300781 72.894 110.9321
133.666992 72.579 109.7331
134.033203 72.237 108.6699
134.399414 71.871 107.7236
134.765625 71.478 106.9014
135.131836 71.055 106.2612
135.498047 70.607 105.8791
135.864258 70.146 105.7939
136.230469 69.680 105.9851
136.596680 69.212 106.4179
136.962891 68.736 107.1130
137.329102 68.255 108.1596
137.695312 67.789 109.6307
138.061523 67.369 111.4621
138.427734 67.009 113.4285
138.793945 66.693 115.2919
139.160156 66.382 117.0014
139.526367 66.048 118.7446
139.892578 65.701 120.7922
140.258789 65.386 123.2553
140.625000 65.144 125.9536
140.991211 64.980 128.5515
141.357422 64.857 130.8548
141.723633 64.737 132.9564
142.089844 64.616 135.0969
142.456055 64.524 137.3958
142.822266 64.497 139.7010
143.188477 64.534 141.7056
143.554688 64.597 143.2100
143.920898 64.643 144.2471
144.287109 64.652 144.9706
144.653320 64.626 145.4663
145.019531 64.560 145.6857
145.385742 64.428 145.5693
145.751953 64.185 145.2417
146.118164 63.800 145.0907
146.484375 63.293 145.6401
146.850586 62.746 147.2263
147.216797 62.261 149.6438
147.583008 61.870 152.1812
147.949219 61.490 154.2780
148.315430 60.985 156.1871
148.681641 60.298 159.0079
149.047852 59.547 164.0677
149.414062 59.039 171.6096
149.780273 59.007 179.7225
150.146484 59.296 -173.9315
