* Measurement data measured by REW V5.31.1
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540. Timing signal peak level -43.5 dBFS, measurement signal peak level -36.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS using an acoustic timing reference
* Dated: Jun 13, 2024 7:09:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -5.9961 ms (-2.057 m, -(6 ft 9 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -10.1 ppm
* Measurement: SR PosLeft-SubBack Jun 13
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 9.887695 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
9.887695 73.237 -31.0128
10.253906 76.176 -44.3274
10.620117 78.497 -62.6350
10.986328 80.301 -83.6701
11.352539 81.575 -105.9835
11.718750 82.327 -128.6327
12.084961 82.551 -150.8873
12.451172 82.235 -171.9962
12.817383 81.365 169.0664
13.183594 79.982 153.9458
13.549805 78.345 145.0586
13.916016 77.223 143.5310
14.282227 77.414 143.9384
14.648438 78.450 138.9731
15.014648 79.427 128.3079
15.380859 79.960 114.6817
15.747070 79.995 100.4495
16.113281 79.604 87.3505
16.479492 78.944 76.6839
16.845703 78.263 69.0471
17.211914 77.824 63.7403
17.578125 77.719 58.9564
17.944336 77.799 53.2894
18.310547 77.865 46.6472
18.676758 77.823 39.7030
19.042969 77.695 33.0528
19.409180 77.557 26.7523
19.775391 77.444 20.3457
20.141602 77.311 13.3274
20.507812 77.061 5.6109
20.874023 76.604 -2.3633
21.240234 75.908 -9.7898
21.606445 75.021 -15.7373
21.972656 74.085 -19.4982
22.338867 73.310 -21.1313
22.705078 72.847 -21.7648
23.071289 72.661 -22.8733
23.437500 72.572 -25.1130
23.803711 72.414 -28.0892
24.169922 72.121 -30.8661
24.536133 71.746 -32.5057
24.902344 71.442 -32.5961
25.268555 71.378 -31.7471
25.634766 71.590 -31.3787
26.000977 71.926 -32.5683
26.367188 72.178 -35.2744
26.733398 72.216 -38.5850
27.099609 72.037 -41.2903
27.465820 71.767 -42.4346
27.832031 71.611 -41.9438
28.198242 71.710 -40.8628
28.564453 72.011 -40.4210
28.930664 72.360 -40.8542
29.296875 72.676 -41.4731
29.663086 73.027 -41.6117
30.029297 73.543 -41.4724
30.395508 74.259 -42.0780
30.761719 75.051 -44.2491
31.127930 75.747 -47.8781
31.494141 76.247 -52.1582
31.860352 76.557 -56.1407
32.226562 76.773 -59.2039
32.592773 77.024 -61.3710
32.958984 77.385 -63.2568
33.325195 77.833 -65.5245
33.691406 78.296 -68.3724
34.057617 78.732 -71.5750
34.423828 79.163 -74.9034
34.790039 79.633 -78.4795
35.156250 80.151 -82.7593
35.522461 80.655 -88.1678
35.888672 81.042 -94.7537
36.254883 81.218 -102.1340
36.621094 81.123 -109.6198
36.987305 80.748 -116.3407
37.353516 80.148 -121.3499
37.719727 79.470 -123.8545
38.085938 78.940 -123.7394
38.452148 78.768 -122.0799
38.818359 78.973 -120.6257
39.184570 79.395 -120.4467
39.550781 79.868 -121.4987
39.916992 80.320 -123.2471
40.283203 80.766 -125.2997
40.649414 81.241 -127.6491
41.015625 81.755 -130.5640
41.381836 82.271 -134.3020
41.748047 82.731 -138.9026
42.114258 83.087 -144.1802
42.480469 83.313 -149.8427
42.846680 83.407 -155.6098
43.212891 83.382 -161.2744
43.579102 83.250 -166.6950
43.945312 83.023 -171.7438
44.311523 82.716 -176.2594
44.677734 82.361 179.9305
45.043945 82.012 176.8895
45.410156 81.727 174.4199
45.776367 81.533 172.0551
46.142578 81.398 169.3094
46.508789 81.241 166.0015
46.875000 80.986 162.3658
47.241211 80.597 158.9150
47.607422 80.095 156.1960
47.973633 79.543 154.5473
48.339844 79.017 153.9687
48.706055 78.557 154.2360
49.072266 78.174 155.1970
49.438477 77.885 156.8901
49.804688 77.753 159.2617
50.170898 77.846 161.7822
50.537109 78.150 163.5801
50.903320 78.556 164.0925
51.269531 78.938 163.4298
51.635742 79.232 162.1389
52.001953 79.451 160.7664
52.368164 79.652 159.5473
52.734375 79.887 158.3381
53.100586 80.165 156.8123
53.466797 80.455 154.7466
53.833008 80.716 152.1456
54.199219 80.922 149.1652
54.565430 81.065 145.9837
54.931641 81.146 142.7427
55.297852 81.170 139.5697
55.664062 81.145 136.6091
56.030273 81.097 133.9884
56.396484 81.063 131.7106
56.762695 81.073 129.5723
57.128906 81.125 127.2410
57.495117 81.174 124.4893
57.861328 81.158 121.3919
58.227539 81.040 118.3246
58.593750 80.836 115.7744
58.959961 80.618 114.0381
59.326172 80.482 112.9429
59.692383 80.473 111.8549
60.058594 80.549 110.1127
60.424805 80.611 107.4945
60.791016 80.576 104.2847
61.157227 80.416 101.0231
61.523438 80.164 98.1983
61.889648 79.891 96.0085
62.255859 79.667 94.2678
62.622070 79.515 92.5501
62.988281 79.408 90.4948
63.354492 79.294 88.0085
63.720703 79.134 85.2358
64.086914 78.915 82.4020
64.453125 78.649 79.6757
64.819336 78.351 77.1085
65.185547 78.034 74.6519
65.551758 77.694 72.2160
65.917969 77.313 69.7409
66.284180 76.864 67.2587
66.650391 76.317 64.9411
67.016602 75.656 63.1183
67.382812 74.901 62.2311
67.749023 74.121 62.6603
68.115234 73.429 64.4183
68.481445 72.922 66.9220
68.847656 72.602 69.2612
69.213867 72.369 70.8810
69.580078 72.110 71.9423
69.946289 71.779 73.0856
70.312500 71.431 74.9299
70.678711 71.178 77.5881
71.044922 71.114 80.4896
71.411133 71.227 82.7946
71.777344 71.423 84.0409
72.143555 71.603 84.3336
72.509766 71.719 84.0731
72.875977 71.768 83.6402
73.242188 71.773 83.2473
73.608398 71.756 82.9509
73.974609 71.728 82.7499
74.340820 71.692 82.6630
74.707031 71.661 82.7216
75.073242 71.650 82.9000
75.439453 71.671 83.0712
75.805664 71.719 83.0585
76.171875 71.768 82.7583
76.538086 71.786 82.2297
76.904297 71.758 81.6727
77.270508 71.700 81.3032
77.636719 71.650 81.1918
78.002930 71.643 81.1780
78.369141 71.686 80.9520
78.735352 71.747 80.2734
79.101562 71.777 79.1401
79.467773 71.746 77.7749
79.833984 71.657 76.4688
80.200195 71.544 75.3911
80.566406 71.448 74.4813
80.932617 71.387 73.5031
81.298828 71.344 72.2303
81.665039 71.285 70.6035
82.031250 71.186 68.7324
82.397461 71.038 66.7843
82.763672 70.851 64.8745
83.129883 70.635 63.0429
83.496094 70.394 61.3072
83.862305 70.134 59.7133
84.228516 69.869 58.3040
84.594727 69.622 57.0213
84.960938 69.408 55.6530
85.327148 69.212 53.9198
85.693359 68.991 51.6470
86.059570 68.695 48.8552
86.425781 68.290 45.6933
86.791992 67.761 42.2961
87.158203 67.094 38.6990
87.524414 66.256 34.8879
87.890625 65.194 30.9532
88.256836 63.851 27.2106
88.623047 62.201 24.1403
88.989258 60.275 22.0084
89.355469 58.098 20.1467
89.721680 55.483 16.2985
90.087891 51.668 5.6582
90.454102 45.189 -32.7639
90.820312 47.519 -121.9995
91.186523 53.752 -151.3309
91.552734 57.221 -164.7416
91.918945 59.235 -172.9740
92.285156 60.503 -177.3137
92.651367 61.550 -178.4399
93.017578 62.728 -178.1819
93.383789 64.065 -178.7739
93.750000 65.366 178.8501
94.116211 66.470 175.1589
94.482422 67.338 171.0833
94.848633 68.032 167.3302
95.214844 68.654 164.0908
95.581055 69.275 161.0610
95.947266 69.898 157.7684
96.313477 70.471 153.9620
96.679688 70.933 149.7542
97.045898 71.253 145.4978
97.412109 71.443 141.5786
97.778320 71.546 138.2371
98.144531 71.619 135.4642
98.510742 71.698 133.0217
98.876953 71.784 130.5974
99.243164 71.847 128.0020
99.609375 71.849 125.2683
99.975586 71.771 122.6061
100.341797 71.624 120.2673
100.708008 71.447 118.3884
101.074219 71.285 116.8821
101.440430 71.163 115.4598
101.806641 71.063 113.8057
102.172852 70.937 111.7787
102.539062 70.732 109.5010
102.905273 70.413 107.3093
103.271484 69.980 105.6409
103.637695 69.473 104.8989
104.003906 68.963 105.3027
104.370117 68.531 106.7478
104.736328 68.234 108.7946
105.102539 68.068 110.8875
105.468750 67.980 112.6760
105.834961 67.905 114.1581
106.201172 67.809 115.5693
106.567383 67.694 117.1624
106.933594 67.580 119.0498
107.299805 67.486 121.2079
107.666016 67.415 123.6179
108.032227 67.371 126.3733
108.398438 67.391 129.5830
108.764648 67.534 133.1162
109.130859 67.840 136.4802
109.497070 68.277 139.0820
109.863281 68.763 140.6494
110.229492 69.218 141.3571
110.595703 69.611 141.6118
110.961914 69.960 141.7603
111.328125 70.304 141.9060
111.694336 70.673 141.9171
112.060547 71.062 141.5923
112.426758 71.445 140.8383
112.792969 71.795 139.7225
113.159180 72.100 138.3983
113.525391 72.368 136.9966
113.891602 72.610 135.5596
114.257812 72.836 134.0430
114.624023 73.043 132.3737
114.990234 73.215 130.5188
115.356445 73.335 128.5293
115.722656 73.390 126.5413
116.088867 73.382 124.7365
116.455078 73.332 123.2725
116.821289 73.273 122.2002
117.187500 73.239 121.4102
117.553711 73.245 120.6665
117.919922 73.275 119.7322
118.286133 73.295 118.5089
118.652344 73.269 117.0887
119.018555 73.180 115.6976
119.384766 73.040 114.5782
119.750977 72.880 113.8721
120.117188 72.737 113.5543
120.483398 72.634 113.4626
120.849609 72.572 113.4031
121.215820 72.539 113.2529
121.582031 72.516 112.9855
121.948242 72.495 112.6226
122.314453 72.471 112.1826
122.680664 72.438 111.6711
123.046875 72.389 111.1133
123.413086 72.317 110.5803
123.779297 72.226 110.1718
124.145508 72.129 109.9561
124.511719 72.046 109.9121
124.877930 71.987 109.9324
125.244141 71.946 109.8984
125.610352 71.908 109.7710
125.976562 71.861 109.6111
126.342773 71.807 109.5116
126.708984 71.761 109.4958
127.075195 71.736 109.4742
127.441406 71.727 109.3079
127.807617 71.710 108.9312
128.173828 71.661 108.4231
128.540039 71.574 107.9636
128.906250 71.466 107.7090
129.272461 71.366 107.6702
129.638672 71.293 107.6946
130.004883 71.241 107.5818
130.371094 71.179 107.2444
130.737305 71.079 106.7798
131.103516 70.931 106.4055
131.469727 70.753 106.3142
131.835938 70.579 106.5427
132.202148 70.436 106.9410
132.568359 70.320 107.2817
132.934570 70.203 107.4351
133.300781 70.049 107.4695
133.666992 69.840 107.6165
134.033203 69.588 108.1355
134.399414 69.329 109.1638
134.765625 69.106 110.6316
135.131836 68.935 112.3159
135.498047 68.807 114.0098
135.864258 68.694 115.6641
136.230469 68.579 117.3860
136.596680 68.467 119.3217
136.962891 68.380 121.5361
137.329102 68.339 123.9802
137.695312 68.354 126.5481
138.061523 68.430 129.1415
138.427734 68.566 131.6731
138.793945 68.763 134.0317
139.160156 69.009 136.0920
139.526367 69.282 137.7822
139.892578 69.557 139.1378
140.258789 69.820 140.2784
140.625000 70.075 141.3231
140.991211 70.331 142.3187
141.357422 70.599 143.2354
141.723633 70.876 144.0205
142.089844 71.157 144.6548
142.456055 71.434 145.1583
142.822266 71.708 145.5609
143.188477 71.981 145.8718
143.554688 72.253 146.0784
143.920898 72.524 146.1614
144.287109 72.788 146.1096
144.653320 73.041 145.9247
145.019531 73.277 145.6276
145.385742 73.494 145.2639
145.751953 73.691 144.8947
146.118164 73.878 144.5620
146.484375 74.066 144.2505
146.850586 74.259 143.8894
147.216797 74.447 143.4133
147.583008 74.617 142.8416
147.949219 74.756 142.3008
148.315430 74.877 141.9535
148.681641 75.008 141.8726
149.047852 75.179 141.9563
149.414062 75.402 141.9768
149.780273 75.655 141.7432
150.146484 75.906 141.2336
