* Measurement data measured by REW V5.31.1
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540. Timing signal peak level -47.0 dBFS, measurement signal peak level -34.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS using an acoustic timing reference
* Dated: Jun 13, 2024 7:11:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -7.3183 ms (-2.510 m, -(8 ft 2.8 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -6.6 ppm
* Measurement: SR PosRight-SubBack Jun 13
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 9.887695 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
9.887695 73.588 -23.1789
10.253906 76.820 -37.7396
10.620117 79.254 -57.3980
10.986328 81.071 -79.3728
11.352539 82.311 -102.2197
11.718750 83.005 -125.0881
12.084961 83.163 -147.3231
12.451172 82.780 -168.2152
12.817383 81.848 173.2570
13.183594 80.418 158.7691
13.549805 78.774 150.7441
13.916016 77.718 150.0249
14.282227 77.995 150.7226
14.648438 79.058 145.8239
15.014648 80.021 135.3477
15.380859 80.528 122.0051
15.747070 80.526 108.0438
16.113281 80.073 95.1311
16.479492 79.300 84.6051
16.845703 78.431 77.3482
17.211914 77.757 73.1806
17.578125 77.478 70.5419
17.944336 77.550 67.6132
18.310547 77.803 63.6549
18.676758 78.127 58.7816
19.042969 78.497 53.0856
19.409180 78.889 46.3166
19.775391 79.233 38.1690
20.141602 79.414 28.6520
20.507812 79.327 18.1890
20.874023 78.896 7.5367
21.240234 78.093 -2.2764
21.606445 76.966 -9.9630
21.972656 75.700 -14.1910
22.338867 74.675 -14.6011
22.705078 74.257 -13.3279
23.071289 74.374 -13.7997
23.437500 74.608 -17.3545
23.803711 74.626 -23.0422
24.169922 74.301 -29.1984
24.536133 73.666 -34.2181
24.902344 72.885 -36.8892
25.268555 72.226 -36.9898
25.634766 71.910 -35.8180
26.000977 71.902 -35.2839
26.367188 71.978 -36.1761
26.733398 71.945 -37.8871
27.099609 71.763 -39.2777
27.465820 71.529 -39.4935
27.832031 71.404 -38.5204
28.198242 71.479 -37.2003
28.564453 71.703 -36.4352
28.930664 71.953 -36.3839
29.296875 72.161 -36.5171
29.663086 72.363 -36.2339
30.029297 72.669 -35.4746
30.395508 73.152 -34.9061
30.761719 73.773 -35.4080
31.127930 74.399 -37.3604
31.494141 74.904 -40.4685
31.860352 75.217 -44.0345
32.226562 75.335 -47.2557
32.592773 75.319 -49.4304
32.958984 75.280 -50.1458
33.325195 75.351 -49.4607
33.691406 75.638 -47.9327
34.057617 76.176 -46.3705
34.423828 76.938 -45.4993
34.790039 77.859 -45.8140
35.156250 78.857 -47.5872
35.522461 79.845 -50.8729
35.888672 80.743 -55.4953
36.254883 81.487 -61.0779
36.621094 82.046 -67.1119
36.987305 82.426 -73.0444
37.353516 82.672 -78.3920
37.719727 82.868 -82.9028
38.085938 83.110 -86.7263
38.452148 83.455 -90.4182
38.818359 83.884 -94.6473
39.184570 84.317 -99.7971
39.550781 84.657 -105.8041
39.916992 84.841 -112.2639
40.283203 84.849 -118.6163
40.649414 84.710 -124.3141
41.015625 84.499 -128.9900
41.381836 84.314 -132.6356
41.748047 84.235 -135.6741
42.114258 84.277 -138.7652
42.480469 84.388 -142.4208
42.846680 84.486 -146.7671
43.212891 84.507 -151.5946
43.579102 84.424 -156.5441
43.945312 84.243 -161.2713
44.311523 83.995 -165.5486
44.677734 83.718 -169.3091
45.043945 83.444 -172.6327
45.410156 83.189 -175.6848
45.776367 82.948 -178.6327
46.142578 82.705 178.4229
46.508789 82.438 175.4803
46.875000 82.128 172.6372
47.241211 81.769 170.0630
47.607422 81.373 167.9453
47.973633 80.969 166.4131
48.339844 80.596 165.4647
48.706055 80.287 164.9511
49.072266 80.054 164.6510
49.438477 79.893 164.3829
49.804688 79.793 164.0534
50.170898 79.749 163.6058
50.537109 79.761 162.9421
50.903320 79.815 161.9219
51.269531 79.883 160.4499
51.635742 79.929 158.5657
52.001953 79.928 156.4459
52.368164 79.879 154.3152
52.734375 79.799 152.3261
53.100586 79.714 150.4846
53.466797 79.637 148.6795
53.833008 79.562 146.7933
54.199219 79.471 144.8022
54.565430 79.357 142.7751
54.931641 79.224 140.7818
55.297852 79.088 138.7974
55.664062 78.951 136.6974
56.030273 78.795 134.3619
56.396484 78.589 131.8047
56.762695 78.305 129.2190
57.128906 77.945 126.8992
57.495117 77.540 125.0875
57.861328 77.140 123.8215
58.227539 76.778 122.9042
58.593750 76.453 122.0623
58.959961 76.130 121.1885
59.326172 75.774 120.4501
59.692383 75.389 120.1741
60.058594 75.025 120.5865
60.424805 74.752 121.5639
60.791016 74.607 122.6245
61.157227 74.561 123.2410
61.523438 74.539 123.1973
61.889648 74.476 122.6562
62.255859 74.349 121.9671
62.622070 74.177 121.4183
62.988281 74.000 121.0720
63.354492 73.849 120.7536
63.720703 73.718 120.2015
64.086914 73.573 119.2674
64.453125 73.373 118.0146
64.819336 73.092 116.6778
65.185547 72.728 115.5510
65.551758 72.305 114.8777
65.917969 71.855 114.7892
66.284180 71.413 115.3055
66.650391 71.005 116.3892
67.016602 70.652 117.9897
67.382812 70.379 120.0210
67.749023 70.212 122.2953
68.115234 70.156 124.5101
68.481445 70.189 126.3553
68.847656 70.267 127.6602
69.213867 70.341 128.4478
69.580078 70.381 128.8659
69.946289 70.372 129.0845
70.312500 70.310 129.2438
70.678711 70.191 129.4804
71.044922 70.018 129.9860
71.411133 69.811 131.0140
71.777344 69.624 132.7631
72.143555 69.539 135.1575
72.509766 69.621 137.7051
72.875977 69.868 139.6860
73.242188 70.204 140.5897
73.608398 70.529 140.3739
73.974609 70.769 139.3748
74.340820 70.902 138.0690
74.707031 70.946 136.8686
75.073242 70.944 135.9918
75.439453 70.943 135.4194
75.805664 70.966 134.9592
76.171875 71.007 134.3997
76.538086 71.039 133.6538
76.904297 71.034 132.8049
77.270508 70.984 132.0417
77.636719 70.907 131.5337
78.002930 70.834 131.3099
78.369141 70.795 131.2131
78.735352 70.789 130.9860
79.101562 70.789 130.4468
79.467773 70.755 129.6213
79.833984 70.663 128.7325
80.200195 70.527 128.0624
80.566406 70.392 127.7551
80.932617 70.315 127.6656
81.298828 70.320 127.3879
81.665039 70.380 126.4876
82.031250 70.431 124.7592
82.397461 70.402 122.3055
82.763672 70.249 119.4550
83.129883 69.956 116.6371
83.496094 69.542 114.2836
83.862305 69.059 112.7332
84.228516 68.589 112.1000
84.594727 68.220 112.1203
84.960938 68.004 112.1294
85.327148 67.909 111.3332
85.693359 67.836 109.2166
86.059570 67.664 105.7369
86.425781 67.293 101.2286
86.791992 66.667 96.2074
87.158203 65.773 91.1996
87.524414 64.632 86.5812
87.890625 63.287 82.3903
88.256836 61.759 78.1438
88.623047 59.983 72.7580
88.989258 57.757 64.4267
89.355469 54.740 49.4340
89.721680 51.046 17.0781
90.087891 50.920 -38.6945
90.454102 54.929 -74.4578
90.820312 58.360 -91.8209
91.186523 60.859 -102.3901
91.552734 62.733 -109.8553
91.918945 64.204 -115.5353
92.285156 65.416 -120.0858
92.651367 66.455 -123.9514
93.017578 67.369 -127.4664
93.383789 68.172 -130.8440
93.750000 68.864 -134.1526
94.116211 69.449 -137.3350
94.482422 69.941 -140.2759
94.848633 70.368 -142.8977
95.214844 70.767 -145.2422
95.581055 71.162 -147.4813
95.947266 71.555 -149.8359
96.313477 71.925 -152.4506
96.679688 72.243 -155.3210
97.045898 72.492 -158.3154
97.412109 72.672 -161.2610
97.778320 72.796 -164.0391
98.144531 72.886 -166.6372
98.510742 72.951 -169.1318
98.876953 72.987 -171.6091
99.243164 72.977 -174.0823
99.609375 72.905 -176.4591
99.975586 72.769 -178.5779
100.341797 72.586 179.7126
100.708008 72.383 178.4717
101.074219 72.189 177.6226
101.440430 72.020 176.9861
101.806641 71.868 176.3748
102.172852 71.713 175.6892
102.539062 71.527 174.9607
102.905273 71.296 174.3257
103.271484 71.019 173.9688
103.637695 70.713 174.0560
104.003906 70.406 174.6823
104.370117 70.129 175.8403
104.736328 69.908 177.4304
105.102539 69.756 179.3052
105.468750 69.674 -178.6753
105.834961 69.657 -176.6157
106.201172 69.698 -174.5942
106.567383 69.788 -172.6775
106.933594 69.912 -170.9116
107.299805 70.056 -169.2942
107.666016 70.209 -167.7625
108.032227 70.369 -166.2273
108.398438 70.550 -164.6449
108.764648 70.769 -163.0747
109.130859 71.031 -161.6643
109.497070 71.322 -160.5597
109.863281 71.618 -159.8076
110.229492 71.900 -159.3320
110.595703 72.162 -158.9983
110.961914 72.419 -158.7119
111.328125 72.687 -158.4861
111.694336 72.977 -158.4255
112.060547 73.280 -158.6459
112.426758 73.579 -159.1887
112.792969 73.857 -160.0032
113.159180 74.106 -160.9919
113.525391 74.330 -162.0806
113.891602 74.534 -163.2542
114.257812 74.716 -164.5396
114.624023 74.866 -165.9475
114.990234 74.969 -167.4194
115.356445 75.016 -168.8198
115.722656 75.016 -169.9816
116.088867 74.991 -170.7876
116.455078 74.975 -171.2474
116.821289 74.992 -171.5165
117.187500 75.046 -171.8264
117.553711 75.118 -172.3582
117.919922 75.175 -173.1466
118.286133 75.192 -174.0769
118.652344 75.164 -174.9570
119.018555 75.104 -175.6187
119.384766 75.040 -175.9980
119.750977 74.997 -176.1582
120.117188 74.984 -176.2349
120.483398 74.996 -176.3435
120.849609 75.020 -176.5154
121.215820 75.046 -176.7080
121.582031 75.076 -176.8669
121.948242 75.118 -176.9836
122.314453 75.177 -177.1064
122.680664 75.250 -177.3003
123.046875 75.327 -177.5938
123.413086 75.398 -177.9626
123.779297 75.462 -178.3582
124.145508 75.522 -178.7546
124.511719 75.584 -179.1736
124.877930 75.647 -179.6665
125.244141 75.703 179.7319
125.610352 75.743 179.0385
125.976562 75.761 178.3179
126.342773 75.759 177.6466
126.708984 75.748 177.0674
127.075195 75.741 176.5637
127.441406 75.744 176.0717
127.807617 75.753 175.5199
128.173828 75.761 174.8715
128.540039 75.756 174.1461
128.906250 75.730 173.4116
129.272461 75.686 172.7540
129.638672 75.634 172.2379
130.004883 75.588 171.8694
130.371094 75.562 171.5820
130.737305 75.559 171.2598
131.103516 75.570 170.7928
131.469727 75.575 170.1368
131.835938 75.556 169.3380
132.202148 75.504 168.5089
132.568359 75.423 167.7695
132.934570 75.327 167.1832
133.300781 75.233 166.7249
133.666992 75.148 166.3024
134.033203 75.066 165.8242
134.399414 74.971 165.2672
134.765625 74.851 164.6971
135.131836 74.700 164.2371
135.498047 74.532 164.0028
135.864258 74.365 164.0413
136.230469 74.221 164.3047
136.596680 74.111 164.6709
136.962891 74.033 165.0046
137.329102 73.973 165.2174
137.695312 73.914 165.2981
138.061523 73.844 165.3032
138.427734 73.759 165.3207
138.793945 73.665 165.4229
139.160156 73.573 165.6299
139.526367 73.494 165.9009
139.892578 73.430 166.1614
140.258789 73.373 166.3550
140.625000 73.313 166.4829
140.991211 73.244 166.6025
141.357422 73.170 166.7825
141.723633 73.103 167.0427
142.089844 73.054 167.3246
142.456055 73.023 167.5166
142.822266 72.997 167.5273
143.188477 72.955 167.3506
143.554688 72.879 167.0784
143.920898 72.765 166.8545
144.287109 72.623 166.7974
144.653320 72.472 166.9363
145.019531 72.327 167.1960
145.385742 72.188 167.4518
145.751953 72.035 167.6227
146.118164 71.845 167.7439
146.484375 71.599 167.9717
146.850586 71.299 168.5247
147.216797 70.966 169.5942
147.583008 70.633 171.2632
147.949219 70.334 173.4835
148.315430 70.088 176.1316
148.681641 69.902 179.1025
149.047852 69.779 -177.6482
149.414062 69.733 -174.1499
149.780273 69.779 -170.4946
150.146484 69.930 -166.8579
