# Freq(Hz) Magnitude(dB) Phase(degrees)
20 5.99147 -5.55119
20.1503 5.99121 -5.59574
20.3018 5.99095 -5.64068
20.4544 5.99067 -5.68603
20.6082 5.99039 -5.73177
20.7631 5.9901 -5.77792
20.9192 5.9898 -5.82449
21.0765 5.98949 -5.87147
21.2349 5.98917 -5.91887
21.3946 5.98884 -5.96669
21.5554 5.9885 -6.01495
21.7174 5.98815 -6.06364
21.8807 5.98779 -6.11276
22.0452 5.98742 -6.16234
22.2109 5.98704 -6.21236
22.3779 5.98665 -6.26283
22.5461 5.98624 -6.31376
22.7156 5.98583 -6.36515
22.8863 5.9854 -6.41701
23.0584 5.98495 -6.46935
23.2317 5.9845 -6.52216
23.4064 5.98403 -6.57546
23.5823 5.98354 -6.62924
23.7596 5.98304 -6.68352
23.9382 5.98253 -6.73829
24.1182 5.982 -6.79358
24.2995 5.98145 -6.84937
24.4821 5.98089 -6.90568
24.6662 5.98031 -6.9625
24.8516 5.97972 -7.01986
25.0384 5.9791 -7.07775
25.2267 5.97847 -7.13617
25.4163 5.97782 -7.19515
25.6074 5.97715 -7.25467
25.7999 5.97645 -7.31475
25.9938 5.97574 -7.37539
26.1892 5.97501 -7.4366
26.3861 5.97425 -7.49838
26.5845 5.97347 -7.56074
26.7843 5.97267 -7.6237
26.9857 5.97184 -7.68724
27.1885 5.97099 -7.75139
27.3929 5.97012 -7.81614
27.5988 5.96921 -7.88151
27.8063 5.96828 -7.9475
28.0153 5.96732 -8.01411
28.2259 5.96634 -8.08136
28.4381 5.96532 -8.14924
28.6519 5.96427 -8.21778
28.8673 5.96319 -8.28697
29.0843 5.96208 -8.35682
29.3029 5.96094 -8.42734
29.5232 5.95976 -8.49853
29.7452 5.95854 -8.57041
29.9688 5.95729 -8.64298
30.1941 5.95601 -8.71624
30.421 5.95468 -8.79021
30.6497 5.95331 -8.86489
30.8801 5.95191 -8.94029
31.1123 5.95046 -9.01642
31.3462 5.94897 -9.09329
31.5818 5.94743 -9.17089
31.8192 5.94585 -9.24925
32.0584 5.94422 -9.32836
32.2994 5.94254 -9.40824
32.5422 5.94081 -9.48889
32.7869 5.93903 -9.57032
33.0333 5.9372 -9.65254
33.2817 5.93532 -9.73556
33.5319 5.93338 -9.81938
33.7839 5.93138 -9.90401
34.0379 5.92932 -9.98946
34.2938 5.9272 -10.0757
34.5516 5.92502 -10.1629
34.8113 5.92277 -10.2508
35.073 5.92046 -10.3396
35.3367 5.91807 -10.4293
35.6023 5.91562 -10.5198
35.87 5.9131 -10.6113
36.1396 5.9105 -10.7035
36.4113 5.90783 -10.7967
36.685 5.90508 -10.8908
36.9608 5.90225 -10.9858
37.2386 5.89933 -11.0817
37.5186 5.89633 -11.1785
37.8006 5.89324 -11.2763
38.0848 5.89006 -11.375
38.3711 5.88679 -11.4746
38.6595 5.88343 -11.5752
38.9502 5.87996 -11.6767
39.243 5.8764 -11.7792
39.538 5.87273 -11.8826
39.8352 5.86896 -11.9871
40.1346 5.86508 -12.0925
40.4364 5.86108 -12.1989
40.7403 5.85697 -12.3063
41.0466 5.85274 -12.4147
41.3552 5.8484 -12.5241
41.6661 5.84392 -12.6346
41.9793 5.83932 -12.746
42.2949 5.83459 -12.8585
